Student ID,student_name,gender,grade,school_name,reading_score,math_score
24986,Ashley Pena,F,9th,Wright High School,98,99
25546,Ronald Dickson,M,9th,Wright High School,98,99
29459,Justin Conrad,M,11th,Rodriguez High School,98,99
29684,Zachary Ramos,M,11th,Rodriguez High School,98,99
30411,Brianna Hoffman,F,10th,Johnson High School,98,99
30527,Laura Jennings,F,9th,Johnson High School,98,99
34213,Brandon Savage,M,9th,Johnson High School,98,99
34348,Holly Allen,F,11th,Johnson High School,98,99
36485,Gary Moreno,M,9th,Ford High School,98,99
37788,Brandon Palmer DDS,M,11th,Thomas High School,98,99
2792,Grace Boyd,F,9th,Huang High School,97,99
2892,Dylan Yates,M,12th,Huang High School,97,99
3707,Alisha Beltran,F,9th,Figueroa High School,97,99
5005,Kirsten Cervantes,F,9th,Figueroa High School,97,99
6126,John Hensley,M,10th,Shelton High School,97,99
12888,Christine Callahan,F,11th,Griffin High School,97,99
12952,Michael Watts,M,10th,Griffin High School,97,99
16475,Katelyn Mejia DDS,F,11th,Cabrera High School,97,99
17691,David Wood,M,10th,Cabrera High School,97,99
17769,Lance Alvarez,M,9th,Cabrera High School,97,99
20738,Mr. Andre Jensen,M,10th,Bailey High School,97,99
23897,Alexandria Maxwell,F,12th,Pena High School,97,99
24398,Sarah Browning,F,9th,Wright High School,97,99
25070,Jonathan Torres,M,10th,Wright High School,97,99
25619,Hannah Burgess,F,10th,Wright High School,97,99
26582,Stacy Huynh,F,11th,Rodriguez High School,97,99
28488,John Green,M,9th,Rodriguez High School,97,99
30718,Christopher Spencer,M,9th,Johnson High School,97,99
32113,Joshua Walker,M,9th,Johnson High School,97,99
32198,Bradley Sullivan,M,12th,Johnson High School,97,99
32637,Matthew Hughes,M,9th,Johnson High School,97,99
35127,Brianna Stewart,F,10th,Ford High School,97,99
36932,Teresa Guerra,F,9th,Ford High School,97,99
2281,Frank King,M,10th,Huang High School,96,99
6165,Michael Rosales,M,12th,Shelton High School,96,99
6435,Kelsey Wilcox,F,10th,Shelton High School,96,99
6803,Emily George,F,10th,Shelton High School,96,99
7567,Michael Richardson,M,11th,Shelton High School,96,99
7757,Felicia Jones,F,11th,Hernandez High School,96,99
7771,Andrew Garrett,M,9th,Hernandez High School,96,99
8411,Amy Morton,F,10th,Hernandez High School,96,99
10302,Tracy Thomas,F,9th,Hernandez High School,96,99
12323,Jeffrey Brooks,M,11th,Griffin High School,96,99
12336,William Wiley,M,11th,Griffin High School,96,99
12716,Courtney Hernandez,F,10th,Griffin High School,96,99
13745,Cassandra Lopez,F,11th,Wilson High School,96,99
17454,Donald Oneill,M,12th,Cabrera High School,96,99
18297,William Thompson,M,9th,Bailey High School,96,99
18492,Tracy Rodriguez,F,9th,Bailey High School,96,99
18849,Lucas James,M,12th,Bailey High School,96,99
22685,Amanda Johnson,F,12th,Bailey High School,96,99
23104,Brianna Williams,F,10th,Holden High School,96,99
25293,Bradley Baker,M,12th,Wright High School,96,99
25726,Jessica Taylor,F,10th,Wright High School,96,99
26384,Ronald Watts,M,12th,Rodriguez High School,96,99
27137,Laura Baxter,F,10th,Rodriguez High School,96,99
27179,Michael Thomas,M,12th,Rodriguez High School,96,99
28495,Amy Brown,F,10th,Rodriguez High School,96,99
31102,Aaron Reynolds,M,10th,Johnson High School,96,99
32710,Amy Nunez,F,11th,Johnson High School,96,99
34377,Joshua Bradley,M,9th,Johnson High School,96,99
36244,Stacey Bowen,F,9th,Ford High School,96,99
36264,Jennifer Miller,F,11th,Ford High School,96,99
38354,Kevin Costa,M,9th,Thomas High School,96,99
38363,Heidi Gomez,F,11th,Thomas High School,96,99
38538,Lisa Price,F,9th,Thomas High School,96,99
38945,Amber Anderson,F,12th,Thomas High School,96,99
962,Traci Ramirez,F,10th,Huang High School,95,99
3141,Thomas Moore,M,11th,Figueroa High School,95,99
4367,Rhonda Herman,F,11th,Figueroa High School,95,99
5814,Angela Holmes,F,9th,Figueroa High School,95,99
5868,Todd Barber,M,11th,Shelton High School,95,99
6582,Lisa Summers,F,9th,Shelton High School,95,99
6891,Diana Newman,F,9th,Shelton High School,95,99
7288,Michelle Arnold,F,9th,Shelton High School,95,99
8562,Sherry Aguirre,F,9th,Hernandez High School,95,99
8808,Kerry Evans,F,10th,Hernandez High School,95,99
10553,Timothy Duke,M,10th,Hernandez High School,95,99
12645,Christina Haynes,F,10th,Griffin High School,95,99
13358,Laura Scott,F,11th,Griffin High School,95,99
16542,Lindsay Long,F,9th,Cabrera High School,95,99
16681,Amanda Walker,F,10th,Cabrera High School,95,99
16796,James Wright,M,12th,Cabrera High School,95,99
18961,Joseph Hooper,M,12th,Bailey High School,95,99
20573,Don Murray,M,9th,Bailey High School,95,99
21874,Brian Robinson,M,11th,Bailey High School,95,99
23231,Jason Jones,M,9th,Holden High School,95,99
23987,Willie Thomas,M,10th,Pena High School,95,99
24091,William Day,M,12th,Pena High School,95,99
24483,John Mcdonald,M,9th,Wright High School,95,99
25537,Taylor Coleman,M,10th,Wright High School,95,99
26608,Sean Garcia,M,10th,Rodriguez High School,95,99
27226,Shirley Perez,F,10th,Rodriguez High School,95,99
30895,Marvin Fowler,M,12th,Johnson High School,95,99
32449,Derek Rivera,M,10th,Johnson High School,95,99
33479,Lee Morales,M,12th,Johnson High School,95,99
37704,Matthew Mitchell III,M,9th,Thomas High School,95,99
38106,Adam Lynch,M,11th,Thomas High School,95,99
38435,Lori Jenkins,F,11th,Thomas High School,95,99
38558,Ryan Fernandez,M,9th,Thomas High School,95,99
30,Bobby Harris,M,9th,Huang High School,94,99
1064,Carlos Preston,M,9th,Huang High School,94,99
1589,Scott Stewart,M,11th,Huang High School,94,99
1914,Brooke Sellers,F,11th,Huang High School,94,99
1945,Kimberly Smith,F,9th,Huang High School,94,99
4412,Tracey Campbell,F,10th,Figueroa High School,94,99
6820,Chad Hall,M,12th,Shelton High School,94,99
7076,Steven Torres,M,10th,Shelton High School,94,99
7408,Kenneth Turner,M,9th,Shelton High School,94,99
9382,Frederick Davidson,M,9th,Hernandez High School,94,99
9836,Richard Kirby,M,10th,Hernandez High School,94,99
10152,Matthew Yates,M,12th,Hernandez High School,94,99
11662,Brenda Caldwell,F,11th,Hernandez High School,94,99
14535,Hannah Moore,F,9th,Wilson High School,94,99
15623,Cody Chapman,M,9th,Wilson High School,94,99
17609,Linda Gordon,F,9th,Cabrera High School,94,99
17695,Lori Hale,F,10th,Cabrera High School,94,99
19590,Julie Brown,F,11th,Bailey High School,94,99
20153,James Lee,M,11th,Bailey High School,94,99
21454,Chelsea Taylor,F,12th,Bailey High School,94,99
23209,Maria Hunt,F,9th,Holden High School,94,99
23601,Kari Anderson DVM,F,11th,Pena High School,94,99
23690,Lori Stewart,F,10th,Pena High School,94,99
24537,Jorge Montes,M,12th,Wright High School,94,99
24822,Gregory Sanchez,M,12th,Wright High School,94,99
25014,Sharon Wilkerson,F,9th,Wright High School,94,99
25340,Joel Garcia,M,11th,Wright High School,94,99
28187,William Hampton,M,12th,Rodriguez High School,94,99
28415,Kristina Burke,F,11th,Rodriguez High School,94,99
28811,Michelle Nelson,F,12th,Rodriguez High School,94,99
34288,Gary Santos,M,9th,Johnson High School,94,99
35478,Robert Stephenson,M,10th,Ford High School,94,99
37402,Richard Campbell,M,9th,Ford High School,94,99
38188,James Aguilar,M,10th,Thomas High School,94,99
2716,Christine Martinez,F,10th,Huang High School,93,99
3112,Michael Mendoza,M,9th,Figueroa High School,93,99
4350,Mr. Robert Day,M,12th,Figueroa High School,93,99
5978,Joshua Compton,M,11th,Shelton High School,93,99
6285,Jennifer Mcgrath,F,9th,Shelton High School,93,99
7572,Calvin Tucker,M,10th,Shelton High School,93,99
8845,Jessica Green,F,9th,Hernandez High School,93,99
9022,Lisa Thompson,F,9th,Hernandez High School,93,99
9231,Crystal Nguyen,F,10th,Hernandez High School,93,99
12514,Gina Powers,F,11th,Griffin High School,93,99
12807,Melissa Griffin,F,10th,Griffin High School,93,99
13396,Daisy Powers,F,11th,Griffin High School,93,99
13896,Brandy Thomas,F,11th,Wilson High School,93,99
14620,Rhonda Nelson,F,9th,Wilson High School,93,99
15097,Kelsey Fletcher,F,9th,Wilson High School,93,99
17987,Kevin Huffman,M,12th,Bailey High School,93,99
19827,James Stone,M,10th,Bailey High School,93,99
20347,Sheryl Miller,F,10th,Bailey High School,93,99
20945,Tyler Huang,M,11th,Bailey High School,93,99
22399,William Arroyo,M,12th,Bailey High School,93,99
24073,Mrs. Brittany Ford DDS,F,12th,Pena High School,93,99
24513,Shari Schmidt,F,10th,Wright High School,93,99
26162,Robert Ellis,M,9th,Rodriguez High School,93,99
27157,John Crawford,M,9th,Rodriguez High School,93,99
32931,Kenneth Barr,M,12th,Johnson High School,93,99
34232,Amanda Roach,F,9th,Johnson High School,93,99
38778,Andrew Gibson,M,9th,Thomas High School,93,99
181,Matthew Anderson,M,11th,Huang High School,92,99
4216,April Riley,F,9th,Figueroa High School,92,99
5337,Michael Wood,M,9th,Figueroa High School,92,99
5407,Kevin Jackson,M,11th,Figueroa High School,92,99
5797,Taylor Young,F,12th,Figueroa High School,92,99
7432,Brian Harris,M,10th,Shelton High School,92,99
10426,Ashley Weaver,F,11th,Hernandez High School,92,99
11849,Stephen West,M,12th,Hernandez High School,92,99
14449,Andrew Robinson,M,12th,Wilson High School,92,99
14590,Joseph Schwartz,M,9th,Wilson High School,92,99
16087,Vickie Rice,F,12th,Cabrera High School,92,99
17265,Amy Martin,F,10th,Cabrera High School,92,99
17411,Brenda Lee,F,12th,Cabrera High School,92,99
22446,Terry Snyder,F,11th,Bailey High School,92,99
23005,Bryan Aguilar,M,12th,Holden High School,92,99
23605,Mallory Lawson,F,9th,Pena High School,92,99
23617,Jason Mendoza,M,9th,Pena High School,92,99
23915,Pamela Wilson,F,12th,Pena High School,92,99
24526,Michael Patterson,M,10th,Wright High School,92,99
24961,Shannon Ortiz,F,12th,Wright High School,92,99
31331,Ryan Steele,M,11th,Johnson High School,92,99
34170,Kayla Hammond,F,12th,Johnson High School,92,99
36559,Jacob Smith,M,12th,Ford High School,92,99
37131,Isaac Cohen,M,9th,Ford High School,92,99
838,Amy Henderson,F,10th,Huang High School,91,99
1947,Dawn Mcgee,F,11th,Huang High School,91,99
3902,Matthew Lee,M,12th,Figueroa High School,91,99
5949,Derek Myers,M,9th,Shelton High School,91,99
6341,Patrick Robles,M,11th,Shelton High School,91,99
7449,Kyle Wood,M,10th,Shelton High School,91,99
7594,Kathy Stone,F,9th,Shelton High School,91,99
9565,Jill Figueroa,F,11th,Hernandez High School,91,99
11508,Linda Sanchez DDS,F,12th,Hernandez High School,91,99
11760,Heidi Woods,F,11th,Hernandez High School,91,99
12681,Michael Mckenzie,M,10th,Griffin High School,91,99
12791,Heidi Cannon,F,9th,Griffin High School,91,99
13729,Kent Miller,M,9th,Griffin High School,91,99
14676,Alexis Green,F,9th,Wilson High School,91,99
14692,Jonathan Maldonado,M,10th,Wilson High School,91,99
17638,Stephen Tucker,M,11th,Cabrera High School,91,99
18172,Jacqueline Snow,F,9th,Bailey High School,91,99
18645,Tami Dixon,F,12th,Bailey High School,91,99
20910,Alexandra Mccarthy,F,9th,Bailey High School,91,99
22852,Lance Lindsey,M,9th,Holden High School,91,99
23868,Sylvia Ross,F,11th,Pena High School,91,99
27521,Virginia Potts,F,12th,Rodriguez High School,91,99
31826,Carlos Henderson,M,11th,Johnson High School,91,99
32001,David Payne,M,11th,Johnson High School,91,99
32594,Natalie Stewart,F,11th,Johnson High School,91,99
37455,Pamela Douglas,F,11th,Ford High School,91,99
37830,Julie Villa,F,11th,Thomas High School,91,99
1643,Jennifer Benjamin,F,12th,Huang High School,90,99
5904,Deborah Weber,F,11th,Shelton High School,90,99
6353,Scott Saunders,M,9th,Shelton High School,90,99
9256,Troy Gibson,M,10th,Hernandez High School,90,99
9529,Christopher Valdez,M,11th,Hernandez High School,90,99
12597,Edward Smith,M,11th,Griffin High School,90,99
14264,Jamie Hayden,F,10th,Wilson High School,90,99
16674,Brent Nguyen,M,9th,Cabrera High School,90,99
17911,Jeffrey Murphy,M,10th,Bailey High School,90,99
18894,Joseph Lopez,M,11th,Bailey High School,90,99
19201,Taylor Meyer,F,12th,Bailey High School,90,99
22192,Amanda Hughes,F,12th,Bailey High School,90,99
23456,Caitlin Vasquez,F,10th,Pena High School,90,99
23970,Steven Stewart,M,10th,Pena High School,90,99
26003,Sarah Miller,F,9th,Wright High School,90,99
28170,Cameron Perez,M,10th,Rodriguez High School,90,99
28721,Eric Tyler,M,11th,Rodriguez High School,90,99
28921,Charles Collier,M,10th,Rodriguez High School,90,99
29707,Lindsay King,F,10th,Rodriguez High School,90,99
30641,Tammie Carr,F,9th,Johnson High School,90,99
31326,Hector Harris,M,11th,Johnson High School,90,99
33427,Helen Cooper,F,11th,Johnson High School,90,99
34063,Mary Brooks,F,12th,Johnson High School,90,99
35555,Tara Mejia,F,10th,Ford High School,90,99
36635,Jeanne Reed,F,11th,Ford High School,90,99
38095,Dr. Jay Johnson DDS,M,12th,Thomas High School,90,99
38572,Robin Mathis,F,9th,Thomas High School,90,99
1536,Joseph Dominguez,M,9th,Huang High School,89,99
3972,Ryan Pacheco,M,9th,Figueroa High School,89,99
6112,Joanna Martin,F,9th,Shelton High School,89,99
7475,Elizabeth Campos,F,10th,Shelton High School,89,99
7609,Elizabeth Macias,F,9th,Shelton High School,89,99
8097,Jennifer Fletcher,F,10th,Hernandez High School,89,99
8927,Kimberly Gilmore,F,9th,Hernandez High School,89,99
9071,Denise Barnes,F,9th,Hernandez High School,89,99
9370,Cameron Brandt,M,11th,Hernandez High School,89,99
11373,Emily Davis,F,12th,Hernandez High School,89,99
11616,Andre Smith,M,10th,Hernandez High School,89,99
12407,Daniel Hogan,M,11th,Griffin High School,89,99
13159,Steven Lee,M,12th,Griffin High School,89,99
13234,Michael Golden MD,M,11th,Griffin High School,89,99
13958,Daniel Pineda,M,9th,Wilson High School,89,99
16023,Michael Curry,M,10th,Cabrera High School,89,99
16628,Dan Phillips,M,12th,Cabrera High School,89,99
18604,Daniel Johnson,M,11th,Bailey High School,89,99
20721,Christine Sanford,F,9th,Bailey High School,89,99
21751,Timothy Hill,M,9th,Bailey High School,89,99
22460,Michael Gordon,M,12th,Bailey High School,89,99
24927,Cindy Warner,F,12th,Wright High School,89,99
26936,Ethan Mendez,M,10th,Rodriguez High School,89,99
27650,Lisa Velasquez MD,F,11th,Rodriguez High School,89,99
27749,Melanie Joseph,F,10th,Rodriguez High School,89,99
28709,Ryan Gray,M,9th,Rodriguez High School,89,99
29369,David Barton,M,9th,Rodriguez High School,89,99
30566,Sarah Lloyd,F,11th,Johnson High School,89,99
31626,Paul Barrett,M,10th,Johnson High School,89,99
32494,Ms. Brooke Stewart,F,10th,Johnson High School,89,99
36089,Kathleen Benson,F,11th,Ford High School,89,99
39023,Isaac Holt,M,12th,Thomas High School,89,99
415,Emily Reynolds,F,9th,Huang High School,88,99
2677,Brittany Larsen,F,9th,Huang High School,88,99
3854,Samuel Rodriguez,M,10th,Figueroa High School,88,99
4754,Nathaniel Reid,M,12th,Figueroa High School,88,99
4895,Theresa Durham,F,10th,Figueroa High School,88,99
5545,Melissa Stanley,F,11th,Figueroa High School,88,99
5727,Donna Kelley,F,11th,Figueroa High School,88,99
6537,Steven Lewis,M,9th,Shelton High School,88,99
7381,Michael Wilson,M,12th,Shelton High School,88,99
7890,April Hodges,F,11th,Hernandez High School,88,99
10377,Mathew Huff,M,9th,Hernandez High School,88,99
10565,Paul Thomas,M,10th,Hernandez High School,88,99
12144,Lori Cowan,F,10th,Hernandez High School,88,99
12941,Donald Walters,M,10th,Griffin High School,88,99
15783,Tammy Maxwell,F,9th,Wilson High School,88,99
16876,Theresa Lopez,F,12th,Cabrera High School,88,99
18571,Karen Robinson,F,11th,Bailey High School,88,99
19318,Jessica Smith,F,11th,Bailey High School,88,99
19711,Courtney Sullivan,F,11th,Bailey High School,88,99
19744,Kevin Barnett,M,9th,Bailey High School,88,99
21533,Lisa Pacheco,F,10th,Bailey High School,88,99
22025,Sarah Gonzalez,F,12th,Bailey High School,88,99
22274,Larry Baker,M,10th,Bailey High School,88,99
23264,Dean Stewart,M,10th,Holden High School,88,99
23465,Wendy Brown,F,11th,Pena High School,88,99
24173,Debra Pollard,F,9th,Pena High School,88,99
25201,Erika Lewis,F,9th,Wright High School,88,99
25954,Miguel Stanton,M,10th,Wright High School,88,99
27752,Charles Hamilton,M,12th,Rodriguez High School,88,99
28118,Tyler Mora,M,9th,Rodriguez High School,88,99
30412,Garrett Tucker,M,10th,Johnson High School,88,99
31074,James Tucker,M,11th,Johnson High School,88,99
31309,David Ramsey,M,9th,Johnson High School,88,99
35620,Rhonda Reyes,F,12th,Ford High School,88,99
36290,Tammy Ward,F,9th,Ford High School,88,99
37233,Kathleen Singleton,F,11th,Ford High School,88,99
1783,Andrew Bailey,M,12th,Huang High School,87,99
2239,Charles Howard,M,11th,Huang High School,87,99
2524,Ashley Hays,F,9th,Huang High School,87,99
2976,Michele Vasquez,F,10th,Figueroa High School,87,99
5019,Helen Reed,F,10th,Figueroa High School,87,99
6996,Thomas Lowe,M,10th,Shelton High School,87,99
8381,Meredith Gomez,F,11th,Hernandez High School,87,99
8682,Jason Pacheco,M,12th,Hernandez High School,87,99
11645,Sara Wong,F,12th,Hernandez High School,87,99
11976,Christopher Mcgee,M,11th,Hernandez High School,87,99
12654,Kimberly Richard,F,11th,Griffin High School,87,99
12999,Courtney Morgan,F,10th,Griffin High School,87,99
13718,Michelle Snow,F,11th,Griffin High School,87,99
14050,Miranda Murphy,F,10th,Wilson High School,87,99
14853,Jasmine Barry,F,11th,Wilson High School,87,99
15692,Carolyn Jones,F,10th,Wilson High School,87,99
16247,Caitlin Rivera,F,9th,Cabrera High School,87,99
16911,Kimberly Schwartz,F,11th,Cabrera High School,87,99
17419,Barbara Lee,F,9th,Cabrera High School,87,99
18935,Jasmine Campbell,F,9th,Bailey High School,87,99
19960,Lori Mitchell DDS,F,9th,Bailey High School,87,99
23675,Heather Gutierrez,F,11th,Pena High School,87,99
24354,Julia Marks,F,11th,Wright High School,87,99
24910,Julie Williamson,F,12th,Wright High School,87,99
25198,Regina Garcia,F,11th,Wright High School,87,99
25301,Jason Walls,M,10th,Wright High School,87,99
25580,Candice Clark,F,9th,Wright High School,87,99
25837,Jose Hill,M,9th,Wright High School,87,99
28357,Sheila Castro,F,9th,Rodriguez High School,87,99
32627,Lindsay Anderson,F,11th,Johnson High School,87,99
36121,Jasmine Lee,F,12th,Ford High School,87,99
38373,Ronald Yates,M,11th,Thomas High School,87,99
39125,Maria Shields,F,12th,Thomas High School,87,99
1715,Anna Schneider,F,11th,Huang High School,86,99
2218,James Castaneda,M,11th,Huang High School,86,99
4505,Tina Lewis,F,10th,Figueroa High School,86,99
6213,Michael Blair,M,11th,Shelton High School,86,99
6719,Megan Nelson,F,12th,Shelton High School,86,99
7820,Ann Ball,F,11th,Hernandez High School,86,99
9717,Jessica Thompson,F,11th,Hernandez High School,86,99
12191,Elizabeth Howell,F,10th,Hernandez High School,86,99
13595,Emily Ingram,F,12th,Griffin High School,86,99
14079,James Palmer,M,11th,Wilson High School,86,99
14960,Robin Shah,F,12th,Wilson High School,86,99
15998,James Davis MD,M,11th,Wilson High School,86,99
17087,Stephanie Alexander,F,10th,Cabrera High School,86,99
18690,Steven Hartman,M,9th,Bailey High School,86,99
19269,Erica Miller,F,9th,Bailey High School,86,99
22428,Kim Parker,F,10th,Bailey High School,86,99
22908,Kelly Rhodes,F,12th,Holden High School,86,99
27410,Michael Warner,M,10th,Rodriguez High School,86,99
31836,Taylor Poole,F,12th,Johnson High School,86,99
33469,Charles Perry,M,12th,Johnson High School,86,99
35198,Kristen Murphy,F,12th,Ford High School,86,99
35684,Dustin Parks,M,10th,Ford High School,86,99
36527,Jillian Evans,F,10th,Ford High School,86,99
37766,Terry Woods,M,11th,Thomas High School,86,99
38233,Scott Johnson,M,9th,Thomas High School,86,99
38243,Kristen Garcia,F,11th,Thomas High School,86,99
38567,Dakota Marshall,M,12th,Thomas High School,86,99
38591,Katherine Sims,F,10th,Thomas High School,86,99
199,Kevin Murphy,M,10th,Huang High School,85,99
3063,Shari Lopez,F,9th,Figueroa High School,85,99
3875,Jose Dennis,M,12th,Figueroa High School,85,99
5267,James Mckenzie,M,11th,Figueroa High School,85,99
7966,Jessica Reed,F,9th,Hernandez High School,85,99
8952,Sarah Hill,F,11th,Hernandez High School,85,99
9414,Cynthia Ayala,F,10th,Hernandez High School,85,99
10972,Charles Ramos,M,9th,Hernandez High School,85,99
11292,Selena Johns,F,12th,Hernandez High School,85,99
13151,Angela Richardson,F,10th,Griffin High School,85,99
14967,Anthony Davis DDS,M,9th,Wilson High School,85,99
15936,Alicia Price,F,10th,Wilson High School,85,99
16909,Robert Brown DVM,M,9th,Cabrera High School,85,99
17614,Samuel Lin,M,9th,Cabrera High School,85,99
17878,Wendy Fox,F,12th,Bailey High School,85,99
21061,Alexander Roy,M,11th,Bailey High School,85,99
21477,Sheila Green,F,11th,Bailey High School,85,99
22757,Briana Contreras,F,10th,Bailey High School,85,99
25394,Anthony Ryan,M,9th,Wright High School,85,99
27259,William Gentry,M,11th,Rodriguez High School,85,99
28801,Dana Bennett DVM,F,10th,Rodriguez High School,85,99
28939,Kelly Johnson,F,11th,Rodriguez High School,85,99
31941,Hunter Dunn,M,9th,Johnson High School,85,99
34290,Michelle Powell,F,11th,Johnson High School,85,99
35523,Dawn Gregory,F,9th,Ford High School,85,99
37371,Paige Rodriguez,F,11th,Ford High School,85,99
37633,Benjamin King,M,10th,Thomas High School,85,99
38468,Robert Lloyd,M,12th,Thomas High School,85,99
4368,Katelyn Butler,F,11th,Figueroa High School,84,99
4806,Pamela Mullins,F,11th,Figueroa High School,84,99
5115,Sarah Morrison,F,12th,Figueroa High School,84,99
6445,Katrina Mccoy,F,9th,Shelton High School,84,99
6717,Theresa Smith,F,10th,Shelton High School,84,99
7521,Patricia Hughes,F,12th,Shelton High School,84,99
7816,Brittany Browning,F,11th,Hernandez High School,84,99
8615,Brittany Hobbs,F,10th,Hernandez High School,84,99
10614,Heather Watkins,F,11th,Hernandez High School,84,99
14480,Brooke Meyers,F,10th,Wilson High School,84,99
17784,Jennifer Manning,F,9th,Cabrera High School,84,99
20741,Brian Guzman,M,10th,Bailey High School,84,99
23529,Frank Franco,M,9th,Pena High School,84,99
24288,Caitlin Blevins,F,11th,Wright High School,84,99
25133,Gary Mercado,M,11th,Wright High School,84,99
25877,Gregory Bailey,M,9th,Wright High School,84,99
27311,Brian Clark,M,12th,Rodriguez High School,84,99
30503,Stacy Norton,F,10th,Johnson High School,84,99
31787,Katherine Howell,F,10th,Johnson High School,84,99
36702,Jaclyn Cannon,F,11th,Ford High School,84,99
39008,Timothy Smith,M,11th,Thomas High School,84,99
700,Luis Watts,M,11th,Huang High School,83,99
3727,Richard Lyons,M,11th,Figueroa High School,83,99
4514,Dawn Colon,F,12th,Figueroa High School,83,99
9199,Angelica Williams,F,10th,Hernandez High School,83,99
11322,Patricia Harrison,F,9th,Hernandez High School,83,99
11948,Dr. Kevin Simon,M,9th,Hernandez High School,83,99
12366,Jessica Thompson,F,9th,Griffin High School,83,99
12642,Scott Lee,M,12th,Griffin High School,83,99
13490,Anthony Hughes,M,11th,Griffin High School,83,99
13636,Cameron Carroll,M,10th,Griffin High School,83,99
15499,Rodney Hendricks,M,12th,Wilson High School,83,99
15696,Stephanie Reed,F,12th,Wilson High School,83,99
15727,Mrs. Brittany Duncan MD,F,10th,Wilson High School,83,99
15762,Andrea Wilson,F,11th,Wilson High School,83,99
16431,Mrs. Tammy Crane,F,12th,Cabrera High School,83,99
16671,Justin Erickson,M,12th,Cabrera High School,83,99
17149,Erica Bray,F,9th,Cabrera High School,83,99
20494,Charles Ingram,M,9th,Bailey High School,83,99
20518,Keith Reed,M,10th,Bailey High School,83,99
25329,Jennifer Fletcher,F,12th,Wright High School,83,99
25430,Charles Taylor,M,10th,Wright High School,83,99
25499,Sandra Roberts,F,10th,Wright High School,83,99
26862,Sean Arroyo,M,11th,Rodriguez High School,83,99
31404,Mrs. Shannon Gonzalez MD,F,9th,Johnson High School,83,99
34396,Laura Duncan,F,11th,Johnson High School,83,99
34427,Jessica Welch,F,9th,Johnson High School,83,99
36013,Patrick Mahoney,M,9th,Ford High School,83,99
36690,Michele Mendez,F,10th,Ford High School,83,99
38972,Luis Cannon,M,9th,Thomas High School,83,99
39045,Ronnie Craig,M,12th,Thomas High School,83,99
39134,Kerri Berger,F,12th,Thomas High School,83,99
1828,Crystal Lewis,F,10th,Huang High School,82,99
5777,Lisa Wilson,F,10th,Figueroa High School,82,99
7852,Laura Tucker,F,12th,Hernandez High School,82,99
8675,Morgan Rush,F,11th,Hernandez High School,82,99
8720,Natasha Garrett,F,9th,Hernandez High School,82,99
11048,Tyler Bush,M,9th,Hernandez High School,82,99
14156,Sally Hines,F,10th,Wilson High School,82,99
15188,Patricia Serrano,F,12th,Wilson High School,82,99
17139,Zachary Hickman,M,9th,Cabrera High School,82,99
19524,Leslie Solis,F,10th,Bailey High School,82,99
19605,Kelly Ellison,F,11th,Bailey High School,82,99
21472,Jamie Walker,M,12th,Bailey High School,82,99
24033,Michelle Martin,F,11th,Pena High School,82,99
